Student_ID,Name,Payment_Status,Advisor_ID,Calculus 2_Grade,Calculus 2_Attendance,Programming 2_Grade,Programming 2_Attendance,Data Structures_Grade,Data Structures_Attendance,Logic Design_Grade,Logic Design_Attendance,English 2_Grade,English 2_Attendance,Linear Algebra_Grade,Linear Algebra_Attendance,Probability_Grade,Probability_Attendance,Locked_Courses,CGPA
352300084,Fatma Fawzy,Paid,104,81,66%,93,91%,79,86%,100,77%,42,83%,53,88%,68,75%,None,2.95
352300085,Hana Mahmoud,Paid,106,63,94%,97,82%,43,85%,57,72%,47,89%,45,73%,81,100%,Algorithms,2.47
352300086,Layla Ali,Paid,107,61,75%,48,96%,53,64%,93,95%,53,97%,53,74%,61,69%,Data Structures,2.41
352300087,Ibrahim Fawzy,Paid,103,94,69%,48,94%,56,71%,47,61%,48,60%,62,75%,77,80%,Data Structures,2.47
352300088,Ahmed Hassan,Unpaid,101,48,86%,73,67%,87,64%,70,88%,89,83%,72,97%,46,88%,None,2.77
352300089,Youssef Mohamed,Paid,106,90,93%,59,89%,81,61%,43,90%,94,85%,67,66%,71,88%,None,2.89
352300090,Mohamed Ibrahim,Unpaid,105,49,64%,48,77%,79,100%,77,95%,85,80%,64,98%,73,78%,Data Structures,2.71
352300091,Khaled Kamel,Unpaid,101,90,67%,94,95%,86,73%,67,88%,96,74%,66,81%,92,89%,None,3.38
352300092,Fatma Saad,Paid,103,67,80%,82,76%,63,69%,83,90%,44,65%,93,65%,45,87%,None,2.73
352300093,Mohamed Amer,Unpaid,107,48,95%,43,97%,75,95%,61,67%,66,82%,95,87%,95,63%,Data Structures,2.76
352300094,Sara Fawzy,Unpaid,103,46,96%,72,73%,49,90%,54,66%,62,95%,63,67%,88,77%,Algorithms,2.48
352300095,Layla Mohamed,Unpaid,107,75,99%,79,95%,41,98%,99,77%,41,71%,57,79%,98,81%,Algorithms,2.8
352300096,Nour Ali,Paid,107,49,96%,82,85%,44,69%,87,100%,41,65%,87,93%,53,84%,Algorithms,2.53
352300097,Fatma Nasser,Unpaid,102,63,79%,86,80%,89,96%,78,65%,96,63%,49,70%,88,99%,None,3.14
352300098,Ahmed Salem,Paid,103,68,87%,71,98%,68,86%,57,73%,88,92%,47,82%,67,67%,None,2.66
352300099,Sara Salem,Unpaid,105,82,79%,42,74%,65,98%,43,60%,53,79%,100,73%,89,68%,Data Structures,2.71
352300100,Ibrahim Ahmed,Unpaid,103,47,60%,71,87%,51,68%,64,94%,85,74%,72,95%,93,82%,None,2.76
352300101,Mohamed Saad,Paid,104,41,89%,98,64%,95,80%,76,87%,76,85%,85,100%,66,78%,None,3.07
352300102,Mohamed Saad,Paid,103,50,99%,69,83%,45,87%,94,66%,55,87%,77,85%,73,65%,Algorithms,2.65
352300103,Fatma Zaki,Unpaid,106,61,74%,61,70%,44,92%,80,67%,73,92%,52,82%,62,69%,Algorithms,2.47
352300104,Omar Ibrahim,Paid,103,52,71%,78,69%,88,64%,51,100%,71,89%,88,96%,88,97%,None,2.95
352300105,Khaled Salem,Unpaid,107,80,80%,49,88%,44,90%,68,100%,59,77%,77,63%,62,92%,"Data Structures, Algorithms",2.51
352300106,Mohamed Ahmed,Unpaid,104,42,63%,63,78%,44,65%,79,98%,72,84%,69,97%,75,62%,Algorithms,2.54
352300107,Khaled Khalil,Paid,103,78,90%,72,69%,43,88%,46,81%,85,65%,72,71%,42,75%,Algorithms,2.5
352300108,Hassan Nasser,Unpaid,105,73,99%,50,83%,63,78%,64,86%,89,81%,83,98%,43,100%,None,2.66
352300109,Maha Mahmoud,Paid,103,46,95%,83,84%,58,76%,86,98%,95,69%,61,65%,77,69%,None,2.89
352300110,Salma Mahmoud,Unpaid,106,84,85%,48,98%,85,65%,59,95%,64,81%,92,68%,82,93%,Data Structures,2.94
352300111,Mohamed Salem,Unpaid,105,63,61%,63,79%,51,73%,61,91%,52,74%,48,69%,44,78%,None,2.18
352300112,Hana Khalil,Paid,105,89,94%,93,93%,42,81%,96,99%,48,98%,64,69%,50,71%,Algorithms,2.75
352300113,Hana Amer,Paid,106,68,62%,66,83%,83,75%,68,99%,58,88%,54,94%,55,79%,None,2.58
352300114,Ibrahim Khalil,Unpaid,107,52,83%,83,96%,68,89%,89,78%,89,84%,72,93%,66,70%,None,2.97
352300115,Hana Mohamed,Paid,107,56,63%,81,90%,95,83%,75,66%,85,93%,94,67%,58,65%,None,3.11
352300116,Ibrahim Hassan,Unpaid,104,97,92%,49,87%,45,74%,92,88%,96,82%,99,61%,66,63%,"Data Structures, Algorithms",3.11
352300117,Fatma Kamel,Unpaid,102,64,65%,63,74%,41,80%,99,66%,93,81%,90,69%,48,62%,Algorithms,2.85
352300118,Sara Zaki,Unpaid,106,93,68%,88,90%,68,99%,40,65%,41,76%,53,69%,75,98%,None,2.62
352300119,Youssef Saad,Paid,107,58,75%,59,67%,43,75%,66,100%,90,99%,69,64%,47,91%,Algorithms,2.47
352300120,Layla Kamel,Paid,106,72,96%,55,69%,58,87%,40,99%,62,75%,76,86%,51,65%,None,2.37
352300121,Youssef Mahmoud,Paid,105,74,92%,90,92%,75,61%,64,90%,42,100%,64,83%,56,61%,None,2.66
352300122,Nour Khalil,Paid,103,55,100%,46,97%,87,81%,48,62%,62,94%,61,71%,93,89%,Data Structures,2.58
352300123,Hassan Nasser,Paid,107,48,64%,85,89%,42,78%,52,62%,90,72%,96,62%,60,79%,Algorithms,2.7
352300124,Youssef Saad,Unpaid,103,42,72%,58,82%,95,63%,95,81%,57,67%,91,83%,67,85%,None,2.89
352300125,Hassan Nasser,Unpaid,103,51,91%,84,91%,63,93%,57,65%,86,87%,45,87%,78,71%,None,2.65
352300126,Youssef Ahmed,Unpaid,101,45,80%,82,78%,59,88%,78,87%,50,88%,62,88%,42,82%,None,2.39
352300127,Layla Saad,Unpaid,106,90,63%,44,100%,65,83%,72,70%,100,61%,49,98%,83,88%,Data Structures,2.87
352300128,Ahmed Hassan,Paid,102,89,83%,63,84%,100,96%,42,98%,49,88%,100,83%,63,88%,None,2.89
352300129,Ibrahim Ibrahim,Paid,105,63,85%,60,77%,55,67%,41,71%,71,93%,64,95%,47,76%,None,2.29
352300130,Ibrahim Ahmed,Unpaid,102,79,78%,84,91%,52,67%,48,64%,68,71%,97,88%,45,80%,None,2.7
352300131,Maha Mahmoud,Paid,105,74,78%,97,79%,94,70%,85,100%,51,83%,72,74%,47,72%,None,2.97
352300132,Ibrahim Hassan,Paid,107,71,61%,63,95%,76,83%,69,95%,48,99%,96,65%,44,79%,None,2.67
352300133,Fatma Amer,Unpaid,105,66,86%,92,96%,44,68%,60,64%,68,89%,83,93%,62,68%,Algorithms,2.71
352300134,Salma Zaki,Paid,107,48,87%,72,63%,93,67%,73,69%,59,70%,50,80%,99,74%,None,2.82
352300135,Nour Kamel,Unpaid,107,45,76%,52,100%,75,77%,48,100%,59,99%,74,65%,72,70%,None,2.43
352300136,Layla Fawzy,Paid,102,82,99%,86,98%,61,96%,42,61%,45,62%,100,96%,56,73%,None,2.7
352300137,Ibrahim Fawzy,Unpaid,105,80,61%,71,100%,74,78%,81,79%,70,75%,91,85%,59,89%,None,3.01
352300138,Mohamed Amer,Paid,102,68,86%,70,89%,53,81%,78,69%,60,80%,86,82%,65,68%,None,2.74
352300139,Ibrahim Mahmoud,Paid,103,55,89%,47,77%,68,75%,49,66%,43,78%,100,84%,95,99%,Data Structures,2.61
352300140,Fatma Mohamed,Paid,107,60,96%,86,80%,52,70%,71,92%,69,91%,96,79%,71,61%,None,2.89
