Student_ID,Name,Payment_Status,Advisor_ID,Algorithms_Grade,Algorithms_Attendance,Operating Systems_Grade,Operating Systems_Attendance,Database_Grade,Database_Attendance,Networking_Grade,Networking_Attendance,Software Engineering_Grade,Software Engineering_Attendance,AI_Grade,AI_Attendance,Computer Architecture_Grade,Computer Architecture_Attendance,Locked_Courses,CGPA
352300188,Nour Mahmoud,Paid,101,40,79%,68,83%,88,77%,46,68%,45,71%,67,88%,75,95%,Cybersecurity,2.45
352300189,Youssef Saad,Paid,101,45,82%,75,65%,78,98%,90,80%,95,84%,40,78%,66,84%,None,2.79
352300190,Ibrahim Ibrahim,Paid,105,73,70%,83,84%,50,68%,57,79%,57,91%,49,64%,50,87%,None,2.39
352300191,Sara Saad,Unpaid,104,90,64%,63,76%,100,75%,86,100%,71,98%,79,72%,69,66%,None,3.19
352300192,Ali Ahmed,Paid,104,61,99%,64,81%,68,81%,67,98%,48,79%,60,98%,100,72%,None,2.67
352300193,Khaled Mahmoud,Paid,104,60,78%,87,100%,71,96%,90,75%,60,84%,57,85%,63,67%,None,2.79
352300194,Salma Fawzy,Paid,105,74,71%,83,95%,41,89%,100,73%,68,78%,93,64%,92,86%,Cloud Computing,3.15
352300195,Maha Nasser,Paid,106,59,75%,56,69%,85,87%,90,84%,44,88%,78,90%,77,85%,None,2.79
352300196,Youssef Kamel,Unpaid,105,42,83%,84,94%,78,100%,98,65%,46,75%,82,82%,50,99%,None,2.74
352300197,Ahmed Fawzy,Unpaid,107,61,87%,46,60%,46,76%,54,92%,87,93%,75,97%,84,96%,Cloud Computing,2.59
352300198,Omar Nasser,Unpaid,104,69,97%,84,92%,49,82%,41,90%,46,78%,66,65%,47,69%,"Cloud Computing, Cybersecurity",2.3
352300199,Nour Ahmed,Unpaid,104,90,73%,73,90%,62,90%,46,88%,86,88%,60,64%,59,62%,Cybersecurity,2.72
352300200,Ibrahim Amer,Paid,101,94,81%,81,66%,83,70%,99,75%,73,71%,75,70%,61,95%,None,3.23
352300201,Fatma Nasser,Paid,107,65,100%,51,71%,80,87%,65,61%,87,99%,96,72%,68,97%,None,2.93
352300202,Fatma Saad,Paid,106,53,73%,57,64%,76,66%,91,94%,51,83%,60,72%,69,67%,None,2.61
352300203,Sara Salem,Unpaid,105,80,80%,78,84%,79,85%,77,67%,62,82%,94,89%,79,71%,None,3.14
352300204,Hana Salem,Unpaid,105,77,65%,83,68%,60,67%,55,79%,47,71%,63,69%,72,84%,None,2.61
352300205,Fatma Fawzy,Paid,105,64,87%,51,91%,80,94%,84,71%,75,70%,71,78%,48,71%,None,2.7
352300206,Nour Zaki,Unpaid,105,43,82%,100,60%,71,68%,52,84%,75,92%,81,91%,66,91%,None,2.79
352300207,Fatma Amer,Unpaid,104,50,65%,76,61%,90,74%,58,62%,57,74%,74,78%,50,89%,None,2.6
352300208,Layla Amer,Unpaid,105,72,67%,76,67%,57,94%,92,83%,74,62%,88,88%,74,73%,None,3.05
352300209,Fatma Ibrahim,Paid,103,95,62%,68,76%,62,65%,68,67%,89,75%,53,97%,84,82%,None,2.97
352300210,Hana Amer,Unpaid,102,79,68%,90,73%,92,73%,91,63%,76,82%,74,77%,78,94%,None,3.31
