Student_ID,Name,Payment_Status,Advisor_ID,Machine Learning_Grade,Machine Learning_Attendance,Cloud Computing_Grade,Cloud Computing_Attendance,Cybersecurity_Grade,Cybersecurity_Attendance,Graduation Project_Grade,Graduation Project_Attendance,NLP_Grade,NLP_Attendance,Big Data_Grade,Big Data_Attendance,Image Processing_Grade,Image Processing_Attendance,Remaining_Courses,CGPA
352300227,Fatma Amer,Unpaid,102,58,76%,99,88%,86,71%,87,71%,50,85%,74,97%,76,71%,None (Ready to Graduate),3.03
352300228,Youssef Ibrahim,Paid,101,79,91%,93,82%,54,98%,78,88%,79,89%,52,91%,78,86%,None (Ready to Graduate),2.93
352300229,Nour Ahmed,Paid,106,85,77%,62,74%,83,79%,72,99%,87,72%,42,89%,100,73%,Big Data,3.03
352300230,Mohamed Kamel,Paid,105,62,99%,66,72%,94,81%,63,84%,92,92%,64,95%,82,70%,None (Ready to Graduate),2.99
352300231,Maha Zaki,Unpaid,106,53,98%,55,73%,95,93%,77,78%,62,76%,86,76%,84,97%,None (Ready to Graduate),2.93
352300232,Sara Kamel,Unpaid,103,95,97%,50,90%,70,78%,50,80%,88,90%,99,75%,87,87%,None (Ready to Graduate),3.08
352300233,Hassan Saad,Paid,101,51,98%,84,74%,76,96%,67,87%,55,74%,50,81%,95,95%,None (Ready to Graduate),2.73
352300234,Hana Ali,Unpaid,102,84,91%,53,94%,77,97%,69,89%,87,99%,97,97%,56,95%,None (Ready to Graduate),2.99
352300235,Ibrahim Hassan,Unpaid,101,57,99%,65,99%,69,91%,93,95%,61,75%,89,73%,68,71%,None (Ready to Graduate),2.87
352300236,Hana Nasser,Paid,102,91,84%,66,96%,90,77%,59,91%,58,80%,62,72%,99,78%,None (Ready to Graduate),3.0
352300237,Nour Salem,Unpaid,106,100,87%,65,70%,54,78%,57,100%,100,71%,53,83%,66,95%,None (Ready to Graduate),2.83
352300238,Nour Saad,Paid,104,95,76%,61,92%,71,86%,97,87%,84,100%,87,91%,58,83%,None (Ready to Graduate),3.16
352300239,Mohamed Salem,Unpaid,105,64,97%,54,98%,63,79%,83,80%,69,79%,77,76%,70,100%,None (Ready to Graduate),2.74
352300240,Fatma Salem,Paid,105,78,82%,77,70%,64,76%,70,88%,80,80%,72,84%,83,86%,None (Ready to Graduate),2.99
352300241,Khaled Khalil,Paid,106,52,86%,83,89%,65,96%,98,77%,83,77%,90,74%,46,77%,Image Processing,2.95
352300242,Khaled Fawzy,Paid,104,69,90%,78,92%,84,85%,69,74%,82,70%,95,97%,88,73%,None (Ready to Graduate),3.23
352300243,Ibrahim Saad,Paid,102,90,92%,75,71%,77,99%,92,84%,55,84%,83,87%,79,100%,None (Ready to Graduate),3.15
352300244,Ibrahim Nasser,Unpaid,107,96,84%,95,93%,93,84%,61,77%,92,78%,88,86%,73,77%,None (Ready to Graduate),3.42
352300245,Sara Nasser,Paid,106,63,78%,65,98%,76,74%,55,82%,84,92%,59,83%,69,87%,None (Ready to Graduate),2.69
352300246,Khaled Saad,Paid,102,92,82%,95,88%,98,70%,93,94%,78,85%,41,81%,63,82%,Big Data,3.2
352300247,Hana Zaki,Unpaid,105,87,87%,90,98%,59,77%,62,85%,47,80%,83,95%,69,75%,NLP,2.84
352300248,Hana Nasser,Paid,105,76,99%,68,88%,83,72%,82,74%,93,75%,50,82%,65,84%,None (Ready to Graduate),2.95
352300249,Nour Mahmoud,Unpaid,103,87,96%,70,96%,52,70%,87,71%,100,81%,59,72%,89,90%,None (Ready to Graduate),3.11
352300250,Ahmed Khalil,Paid,102,58,70%,80,77%,54,91%,54,100%,59,92%,61,81%,56,89%,None (Ready to Graduate),2.41
352300251,Hassan Amer,Paid,107,91,100%,64,88%,46,79%,78,99%,98,82%,97,76%,52,92%,Cybersecurity,3.01
352300252,Hana Salem,Paid,101,84,79%,93,89%,90,95%,100,95%,50,87%,70,81%,51,90%,None (Ready to Graduate),3.07
352300253,Nour Ali,Unpaid,107,73,83%,98,90%,95,84%,85,83%,57,86%,99,78%,80,99%,None (Ready to Graduate),3.35
352300254,Youssef Khalil,Unpaid,104,71,93%,79,80%,93,96%,97,78%,94,77%,87,88%,80,82%,None (Ready to Graduate),3.43
352300255,Nour Ali,Unpaid,107,65,85%,59,95%,61,78%,94,92%,94,87%,42,100%,58,77%,Big Data,2.7
352300256,Hassan Saad,Unpaid,105,88,92%,73,92%,74,95%,44,79%,59,92%,60,91%,78,85%,Graduation Project,2.72
352300257,Youssef Kamel,Unpaid,104,100,87%,65,92%,72,79%,61,73%,86,80%,54,87%,98,92%,None (Ready to Graduate),3.06
352300258,Ali Mohamed,Paid,106,73,93%,79,94%,75,79%,99,96%,58,77%,67,79%,43,87%,Image Processing,2.82
352300259,Ali Ahmed,Paid,101,77,92%,98,90%,94,85%,53,70%,78,85%,73,80%,57,71%,None (Ready to Graduate),3.03
352300260,Sara Zaki,Unpaid,101,91,82%,74,88%,81,71%,56,95%,77,79%,52,77%,54,94%,None (Ready to Graduate),2.77
352300261,Fatma Fawzy,Paid,107,75,84%,96,79%,93,83%,64,89%,51,100%,87,100%,88,90%,None (Ready to Graduate),3.17
352300262,Omar Ahmed,Paid,102,60,87%,51,70%,69,92%,79,79%,48,79%,85,92%,93,72%,NLP,2.77
352300263,Maha Mohamed,Unpaid,107,89,88%,83,99%,58,73%,76,90%,55,78%,91,72%,51,95%,None (Ready to Graduate),2.87
352300264,Sara Fawzy,Unpaid,104,54,92%,64,82%,97,86%,76,84%,52,71%,95,93%,65,78%,None (Ready to Graduate),2.87
352300265,Ahmed Ibrahim,Paid,106,92,88%,79,70%,100,91%,91,88%,50,94%,57,86%,82,99%,None (Ready to Graduate),3.15
352300266,Sara Hassan,Unpaid,106,91,72%,72,83%,65,91%,53,75%,65,92%,74,91%,98,96%,None (Ready to Graduate),2.96
352300267,Ibrahim Kamel,Paid,104,52,78%,65,94%,69,86%,91,70%,82,87%,72,71%,57,81%,None (Ready to Graduate),2.79
352300268,Layla Khalil,Unpaid,106,71,71%,58,87%,54,79%,71,92%,73,70%,99,89%,90,92%,None (Ready to Graduate),2.95
352300269,Ali Ahmed,Paid,105,69,77%,100,99%,54,100%,54,96%,56,99%,85,86%,85,83%,None (Ready to Graduate),2.87
352300270,Hana Nasser,Unpaid,102,72,74%,68,99%,79,93%,94,97%,51,94%,89,83%,66,95%,None (Ready to Graduate),2.97
352300271,Youssef Ahmed,Paid,103,86,96%,79,91%,73,74%,71,85%,66,87%,88,82%,72,80%,None (Ready to Graduate),3.06
352300272,Hana Mohamed,Paid,105,68,97%,89,71%,64,85%,85,95%,68,91%,89,90%,99,85%,None (Ready to Graduate),3.21
352300273,Ahmed Hassan,Unpaid,107,53,97%,71,86%,96,70%,86,83%,94,74%,51,95%,99,80%,None (Ready to Graduate),3.14
352300274,Layla Amer,Unpaid,106,52,80%,93,97%,76,100%,64,92%,95,85%,94,71%,80,77%,None (Ready to Graduate),3.17
352300275,Maha Salem,Unpaid,102,87,83%,99,94%,81,97%,53,75%,84,98%,47,80%,90,79%,Big Data,3.09
352300276,Nour Mahmoud,Unpaid,102,60,83%,77,95%,57,75%,52,97%,68,91%,60,99%,78,77%,None (Ready to Graduate),2.58
352300277,Khaled Salem,Unpaid,104,61,70%,95,84%,95,91%,76,72%,71,81%,100,79%,81,83%,None (Ready to Graduate),3.31
352300278,Hassan Ahmed,Unpaid,107,64,82%,93,73%,60,88%,67,79%,100,79%,45,96%,82,78%,Big Data,2.92
352300279,Ahmed Fawzy,Paid,105,87,96%,95,79%,89,77%,80,81%,59,76%,80,91%,88,94%,None (Ready to Graduate),3.3
352300280,Maha Salem,Paid,106,53,90%,82,79%,89,71%,78,93%,54,99%,63,93%,70,76%,None (Ready to Graduate),2.79
