Student_ID,Name,Payment_Status,Advisor_ID,Calculus 1_Grade,Calculus 1_Attendance,Programming 1_Grade,Programming 1_Attendance,Physics 1_Grade,Physics 1_Attendance,English 1_Grade,English 1_Attendance,Intro to CS_Grade,Intro to CS_Attendance,Discrete Math_Grade,Discrete Math_Attendance,Electronics_Grade,Electronics_Attendance,Locked_Courses,CGPA
352300022,Khaled Mahmoud,Paid,101,69,99%,76,66%,44,94%,53,92%,56,68%,99,82%,96,64%,None,2.82
352300023,Salma Mohamed,Unpaid,103,50,88%,93,94%,85,79%,79,93%,40,95%,59,66%,100,68%,None,2.89
352300024,Sara Ibrahim,Paid,106,75,69%,57,78%,78,73%,85,81%,53,100%,94,76%,72,91%,None,2.94
352300025,Sara Zaki,Paid,101,80,87%,93,77%,42,60%,61,68%,80,76%,50,88%,75,87%,None,2.75
352300026,Youssef Ali,Paid,101,100,69%,74,62%,93,83%,77,95%,49,87%,48,62%,59,83%,None,2.86
352300027,Salma Khalil,Paid,103,53,75%,82,66%,62,95%,96,86%,79,69%,99,75%,95,70%,None,3.23
352300028,Ibrahim Khalil,Paid,104,41,71%,87,81%,90,86%,91,75%,57,70%,90,66%,64,62%,Calculus 2,2.97
352300029,Hana Nasser,Paid,102,92,89%,62,79%,92,74%,54,61%,82,72%,65,81%,57,64%,None,2.88
352300030,Ibrahim Ahmed,Unpaid,106,72,85%,83,94%,61,61%,47,76%,51,97%,56,62%,46,98%,None,2.38
352300031,Fatma Mahmoud,Unpaid,104,78,92%,47,84%,97,96%,52,76%,42,87%,40,93%,99,94%,Programming 2,2.6
352300032,Maha Amer,Paid,103,67,64%,100,81%,79,80%,82,67%,86,79%,72,79%,82,86%,None,3.25
352300033,Nour Saad,Unpaid,105,48,72%,66,84%,83,71%,79,96%,59,85%,75,60%,59,78%,Calculus 2,2.68
352300034,Omar Saad,Unpaid,104,68,88%,83,73%,72,90%,90,70%,82,65%,58,92%,82,100%,None,3.06
352300035,Layla Mahmoud,Paid,107,100,75%,83,79%,54,72%,49,61%,42,75%,70,99%,94,64%,None,2.81
352300036,Khaled Saad,Paid,106,84,84%,71,85%,55,69%,81,60%,97,66%,89,87%,54,71%,None,3.03
352300037,Ibrahim Amer,Unpaid,101,75,75%,98,67%,69,68%,91,89%,82,93%,75,98%,60,88%,None,3.14
352300038,Layla Zaki,Unpaid,107,98,95%,68,70%,87,90%,68,76%,88,75%,93,100%,57,93%,None,3.19
352300039,Khaled Salem,Paid,103,68,64%,85,78%,55,77%,61,80%,97,94%,45,68%,49,74%,None,2.63
352300040,Fatma Amer,Paid,106,53,64%,66,86%,61,94%,69,86%,43,73%,93,86%,64,97%,None,2.57
352300041,Hassan Ali,Unpaid,104,40,82%,59,84%,94,86%,74,94%,91,98%,97,74%,71,74%,Calculus 2,3.01
352300042,Sara Saad,Unpaid,101,64,81%,82,85%,86,70%,93,89%,98,68%,79,94%,41,85%,None,3.1
352300043,Layla Fawzy,Paid,101,81,87%,48,89%,51,63%,56,84%,60,73%,69,80%,61,84%,Programming 2,2.43
352300044,Sara Khalil,Unpaid,103,93,65%,70,61%,87,94%,43,82%,54,64%,89,62%,88,61%,None,2.99
352300045,Omar Mohamed,Paid,105,49,75%,48,90%,82,67%,76,73%,69,76%,89,83%,50,98%,"Calculus 2, Programming 2",2.65
352300046,Layla Amer,Paid,107,92,70%,59,66%,77,61%,99,79%,76,84%,65,72%,44,97%,None,2.93
352300047,Hassan Zaki,Paid,101,84,79%,94,98%,91,67%,90,96%,90,62%,62,94%,67,83%,None,3.3
352300048,Mohamed Kamel,Unpaid,101,94,86%,92,91%,46,87%,63,100%,97,89%,85,69%,67,71%,None,3.11
352300049,Hassan Kamel,Unpaid,105,91,94%,89,90%,69,87%,92,97%,57,80%,94,75%,93,65%,None,3.34
352300050,Sara Nasser,Paid,107,69,96%,79,84%,61,61%,71,80%,51,91%,53,82%,91,76%,None,2.71
352300051,Nour Ahmed,Unpaid,105,40,93%,100,72%,45,75%,86,86%,71,95%,88,75%,84,90%,Calculus 2,2.94
352300052,Maha Amer,Unpaid,104,90,61%,45,78%,54,85%,84,75%,59,97%,63,90%,75,93%,Programming 2,2.69
352300053,Nour Saad,Unpaid,103,84,89%,57,79%,56,74%,47,72%,60,67%,87,94%,100,71%,None,2.81
352300054,Omar Mohamed,Unpaid,103,86,97%,88,93%,78,78%,46,72%,58,74%,63,71%,59,60%,None,2.73
352300055,Hassan Kamel,Paid,103,42,63%,75,78%,84,68%,80,91%,46,60%,76,78%,70,90%,Calculus 2,2.7
352300056,Khaled Mahmoud,Paid,101,56,90%,47,64%,65,91%,44,96%,80,63%,49,69%,91,96%,Programming 2,2.47
352300057,Sara Ibrahim,Paid,101,75,86%,78,98%,90,99%,54,93%,64,88%,98,88%,59,97%,None,2.96
352300058,Fatma Ahmed,Paid,105,87,66%,100,73%,80,73%,56,65%,50,75%,51,95%,44,70%,None,2.67
352300059,Ahmed Saad,Unpaid,106,78,90%,58,62%,54,78%,85,78%,84,89%,44,74%,99,76%,None,2.87
352300060,Ibrahim Khalil,Paid,104,47,94%,54,69%,98,77%,92,69%,44,63%,50,79%,78,96%,Calculus 2,2.65
352300061,Salma Ahmed,Unpaid,101,69,79%,84,85%,100,77%,72,94%,71,88%,45,98%,42,87%,None,2.76
352300062,Hassan Mahmoud,Unpaid,101,45,74%,83,96%,77,61%,88,77%,76,62%,88,71%,70,93%,Calculus 2,3.01
352300063,Maha Nasser,Unpaid,102,77,87%,80,91%,45,90%,62,86%,61,80%,82,66%,94,70%,None,2.86
352300064,Nour Saad,Unpaid,103,82,85%,92,95%,42,89%,45,80%,56,80%,47,85%,95,92%,None,2.62
352300065,Hana Ali,Unpaid,104,43,72%,73,83%,79,91%,80,88%,88,63%,53,77%,75,68%,Calculus 2,2.81
352300066,Salma Ahmed,Unpaid,106,71,67%,41,100%,78,75%,85,70%,59,95%,40,95%,66,65%,Programming 2,2.51
352300067,Omar Zaki,Paid,104,100,67%,81,69%,71,78%,72,77%,66,90%,70,75%,69,95%,None,3.02
352300068,Ali Saad,Paid,105,72,68%,95,64%,57,86%,61,92%,57,60%,58,79%,93,97%,None,2.82
352300069,Layla Salem,Unpaid,107,49,88%,74,90%,62,81%,75,94%,64,89%,99,80%,95,72%,Calculus 2,2.96
352300070,Hassan Mohamed,Unpaid,102,94,86%,42,80%,87,90%,85,84%,64,69%,71,62%,48,92%,Programming 2,2.81
